time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2021-01-04 09:30:00-05:00,MLTrader,c5683fa3551e4c81a5dbd45887968834,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-01-04 09:30:00-05:00,MLTrader,c5683fa3551e4c81a5dbd45887968834,SPY,buy,market,fill,1,gtc,0.0,1,stock,375.30999755859375,10,0.0
